iter	Passed	Remaining
0	187	187074
1	233	116646
2	257	85730
3	323	80605
4	376	74852
5	419	69545
6	514	72923
7	547	67916
8	582	64164
9	839	83101
10	1053	94736
11	1198	98641
12	1270	96493
13	1342	94566
14	1418	93142
15	1483	91228
16	1526	88241
17	1566	85483
18	1652	85344
19	1686	82615
20	1718	80096
21	1746	77629
22	1769	75171
23	1855	75446
24	1882	73426
25	1908	71487
26	1931	69596
27	1955	67867
28	1979	66277
29	2011	65039
30	2037	63681
31	2073	62725
32	2109	61805
33	2132	60602
34	2156	59452
35	2178	58340
36	2202	57337
37	2229	56429
38	2253	55529
39	2273	54556
40	2291	53609
41	2316	52834
42	2339	52077
43	2361	51306
44	2381	50535
45	2399	49753
46	2424	49165
47	2448	48553
48	2468	47911
49	2500	47512
50	2524	46973
51	2544	46395
52	2565	45844
53	2596	45486
54	2622	45052
55	2652	44721
56	2681	44360
57	2707	43979
58	2732	43583
59	2797	43826
60	2824	43475
61	2847	43082
62	2868	42666
63	2898	42384
64	2933	42193
65	2957	41853
66	2976	41450
67	2996	41063
68	3021	40764
69	3043	40435
70	3064	40100
71	3091	39847
72	3111	39515
73	3133	39207
74	3160	38979
75	3185	38734
76	3215	38539
77	3257	38502
78	3333	38864
79	3370	38756
80	3404	38620
81	3439	38510
82	3467	38314
83	3493	38092
84	3514	37834
85	3532	37547
86	3557	37328
87	3579	37096
88	3599	36843
89	3621	36621
90	3641	36371
91	3665	36175
92	3688	35973
93	3713	35795
94	3746	35688
95	3792	35713
96	3815	35523
97	3835	35304
98	3854	35082
99	3874	34872
100	3893	34659
101	3915	34471
102	3934	34266
103	3951	34045
104	3971	33854
105	3991	33667
106	4018	33536
107	4040	33373
108	4061	33196
109	4082	33034
110	4133	33108
111	4159	32977
112	4179	32808
113	4206	32693
114	4234	32590
115	4254	32422
116	4276	32277
117	4299	32139
118	4319	31976
119	4341	31839
120	4364	31707
121	4386	31566
122	4410	31449
123	4436	31340
124	4456	31193
125	4478	31062
126	4498	30922
127	4528	30849
128	4563	30812
129	4593	30741
130	4633	30739
131	4655	30613
132	4676	30485
133	4699	30372
134	4773	30584
135	4798	30487
136	4825	30393
137	4851	30304
138	4879	30226
139	4909	30158
140	4947	30144
141	4978	30083
142	5014	30051
143	5036	29942
144	5054	29801
145	5074	29683
146	5095	29568
147	5133	29553
148	5155	29442
149	5190	29414
150	5215	29324
151	5236	29214
152	5255	29096
153	5276	28987
154	5295	28870
155	5314	28750
156	5334	28641
157	5353	28528
158	5370	28407
159	5393	28314
160	5411	28201
161	5464	28269
162	5497	28230
163	5516	28119
164	5538	28029
165	5560	27937
